year;field;field_name;planting_date;latitude;longitude;Dias_a_R1;MAT;repNumber;set_rm
2015;RV1;2015_RV1_DJ42310_-17.7842075;02/11/2015;-17.7842075;-51.0836336;41.5;110;1;7.3
2015;RV1;2015_RV1_DJ42310_-17.7842075;02/11/2015;-17.7842075;-51.0836336;41;108.5;1;6.9
2015;RV1;2015_RV1_DJ42310_-17.7842075;02/11/2015;-17.7842075;-51.0836336;41;113;1;7.5
2015;RV1;2015_RV1_DJ42310_-17.7842075;02/11/2015;-17.7842075;-51.0836336;41;106;1;6.7
2015;RV1;2015_RV1_DJ42310_-17.7842075;02/11/2015;-17.7842075;-51.0836336;39.5;108;1;6.8
2015;RV1;2015_RV1_DJ42310_-17.7842075;02/11/2015;-17.7842075;-51.0836336;41;112;1;7.1
2015;RV1;2015_RV1_DJ42310_-17.7842075;02/11/2015;-17.7842075;-51.0836336;42;113;1;7.5
2015;RV1;2015_RV1_DJ42310_-17.7842075;02/11/2015;-17.7842075;-51.0836336;43;115;1;7.6
2015;RV1;2015_RV1_DJ42310_-17.7842075;02/11/2015;-17.7842075;-51.0836336;41;109.5;1;7
2015;RV1;2015_RV1_DJ42310_-17.7842075;02/11/2015;-17.7842075;-51.0836336;36;107;1;6.4
2015;RV1;2015_RV1_DJ42310_-17.7842075;02/11/2015;-17.7842075;-51.0836336;41;109;1;7
2015;SH04;2015_SH04_DJ42342_-17.83891;04/12/2015;-17.83891;-50.60881;30;89;2;6
2015;SH2A;2015_SH2A_DJ42342_-17.83817;04/12/2015;-17.83817;-50.60921;30;91;2;8
2015;SH2A;2015_SH2A_DJ42342_-17.83817;04/12/2015;-17.83817;-50.60921;47;110;2;8
2015;SH2A;2015_SH2A_DJ42342_-17.83817;04/12/2015;-17.83817;-50.60921;29;90;2;6
2015;SH2B;2015_SH2B_DJ42352_-17.83804;14/12/2015;-17.83804;-50.60989;30;91;2;8
2015;SH2B;2015_SH2B_DJ42352_-17.83804;14/12/2015;-17.83804;-50.60989;39;113;2;8
2015;SH2B;2015_SH2B_DJ42352_-17.83804;14/12/2015;-17.83804;-50.60989;29;89;2;6
2015;TAS1;2015_TAS1_DJ42325_-8.44588;17/11/2015;-8.44588;-45.93181;51.5;111;1;8.4
2015;TAS1;2015_TAS1_DJ42325_-8.44588;17/11/2015;-8.44588;-45.93181;54.5;115.5;1;8.7
2015;TAS1;2015_TAS1_DJ42325_-8.44588;17/11/2015;-8.44588;-45.93181;48;106.5;1;8
2015;TAS1;2015_TAS1_DJ42325_-8.44588;17/11/2015;-8.44588;-45.93181;50;110;1;8.2
2015;TAS1;2015_TAS1_DJ42325_-8.44588;17/11/2015;-8.44588;-45.93181;49;108;1;8.2
2015;TAS1;2015_TAS1_DJ42325_-8.44588;17/11/2015;-8.44588;-45.93181;54;112;1;8.6
2015;TAS1;2015_TAS1_DJ42325_-8.44588;17/11/2015;-8.44588;-45.93181;55.5;118;1;8.8
